Type,Post Date,Description,Amount,Category,
Sale,4/14/2017,RABARCLAYS130111165156,-1.25,Dining Out
Sale,4/16/2017,PANERA BREAD #601492   PISCATAWAY    NJ,-19.84,Dining Out
Sale,4/19/2017,RABARCLAYS130111165156,-6.66,Dining Out
Sale,4/19/2017,USA*USA*CANTEEN VENDIN,-1.05,Dining Out
Sale,4/19/2017,STARBUCKS STORE 16676,-2.12,Dining Out
Sale,4/2/2017,RABARCLAYS130111165156,-7.85,Dining Out
Sale,4/21/2017,STARBUCKS STORE 16676,-2.12,Dining Out
Sale,4/27/2017,CLINTON WINE &amp; SPIRITS,-33.11,Dining Out
Sale,4/28/2017,RABARCLAYS130111165156,-8.27,Dining Out
Sale,4/4/2017,RABARCLAYS130111165156,-3.21,Dining Out
Sale,4/5/2017,RABARCLAYS130111165156,-3.1,Dining Out
Sale,4/7/2017,RABARCLAYS130111165156,-1.25,Dining Out
Sale,4/7/2017,RABARCLAYS130111165156,-6.23,Dining Out
Sale,5/1/2017,MCDONALD'S F23375,-17.91,Dining Out
Sale,5/1/2017,MCDONALD'S F23375,-3.2,Dining Out
Sale,5/14/2017,PANERA BREAD #601492   PISCATAWAY    NJ,-21.33,Dining Out
Sale,5/15/2017,JOE S SHANGHAI RESTAUR,-198.56,Dining Out
Sale,5/17/2017,STARBUCKS STORE 17738,-2.12,Dining Out
Sale,5/23/2017,STARBUCKS STORE 17738,-2.12,Dining Out
Sale,5/29/2017,SHAKE SHACK 1144,-21.44,Dining Out
Sale,5/31/2017,RABARCLAYS130111165156,-8.36,Dining Out
Sale,5/4/2017,STARBUCKS STORE 16676,-2.12,Dining Out
Sale,5/7/2017,PANERA BREAD #601492   PISCATAWAY    NJ,-21.65,Dining Out
Sale,5/8/2017,NAYAX LLC 9,-4.5,Dining Out
Sale,6/11/2017,SARKU JAPAN SUSHI      BRIDGEWATER   NJ,-9.39,Dining Out
Sale,6/11/2017,HAAGEN-DAZS #1150      BRIDGEWATER   NJ,-4.6,Dining Out
Sale,6/12/2017,PANERA BREAD #601492,-19.26,Dining Out
Sale,6/13/2017,USA*USA*CANTEEN VENDIN,-2.1,Dining Out
Sale,6/14/2017,DUNKIN #302617 Q35,-4.26,Dining Out
Sale,6/16/2017,RABARCLAYS130111165156,-9.15,Dining Out
Sale,6/16/2017,STARBUCKS STORE 16676,-2.12,Dining Out
Sale,6/2/2017,STARBUCKS STORE 16676,-2.12,Dining Out
Sale,6/21/2017,RABARCLAYS130111165156,-8.19,Dining Out
Sale,6/22/2017,STARBUCKS STORE 16676,-2.12,Dining Out
Sale,6/23/2017,STARBUCKS STORE 16676,-2.12,Dining Out
Sale,6/27/2017,CLINTON WINE &amp; SPIRITS,-21.74,Dining Out
Sale,7/1/2017,PANERA BREAD #601492   PISCATAWAY    NJ,-19.63,Dining Out
Sale,7/10/2017,PANERA BREAD #601492,-19.21,Dining Out
Sale,7/11/2017,STARBUCKS STORE 16676,-2.12,Dining Out
Sale,7/16/2017,STARBUCKS STORE 16676,-2.12,Dining Out
Sale,7/16/2017,SQU*SQ *THE STONE BEAN Clinton       NJ,-21.32,Dining Out
Sale,7/17/2017,PANERA BREAD #601492,-18.88,Dining Out
Sale,7/24/2017,PANERA BREAD #601492,-18.46,Dining Out
Sale,7/27/2017,USA*USA*EAT RIGHT VEND,-1.5,Dining Out
Sale,7/28/2017,STARBUCKS STORE 16676,-2.12,Dining Out
Sale,7/3/2017,STARBUCKS STORE 16676,-2.12,Dining Out
Sale,7/30/2017,STARBUCKS STORE 07416,-2.89,Dining Out
Sale,7/31/2017,PANERA BREAD #601492,-20.59,Dining Out
Sale,7/7/2017,STARBUCKS STORE 16676,-2.12,Dining Out
Sale,7/9/2017,STARBUCKS STORE 16676,-2.12,Dining Out
Sale,8/11/2017,USA*USA*EAT RIGHT VEND,-2,Dining Out
Sale,8/13/2017,STARBUCKS STORE 16676,-2.89,Dining Out
Sale,8/13/2017,SZECHUAN GOURMET,-26.86,Dining Out
Sale,8/18/2017,USA*USA*EAT RIGHT VEND,-1.5,Dining Out
Sale,8/18/2017,STARBUCKS STORE 17738,-2.89,Dining Out
Sale,8/2/2017,JIANG NAN CHINESE CUIS,-110.04,Dining Out
Sale,8/23/2017,STARBUCKS STORE 16676,-2.89,Dining Out
Sale,8/27/2017,STARBUCKS STORE 17738,-3.76,Dining Out
Sale,8/28/2017,PANERA BREAD #601492,-20.8,Dining Out
Sale,8/6/2017,STARBUCKS STORE 17738,-2.89,Dining Out
Sale,8/6/2017,HAAGEN-DAZS #1150      BRIDGEWATER   NJ,-4.6,Dining Out
Sale,8/7/2017,SARKU JAPAN SUSHI,-9.39,Dining Out
Sale,8/7/2017,HONOR REFRESHMENT SERV,-3.25,Dining Out
Sale,8/8/2017,RABARCLAYS130111165156,-9.15,Dining Out
Sale,8/8/2017,STARBUCKS STORE 17738,-2.12,Dining Out
Sale,9/1/2017,RABARCLAYS130111165156,-9.58,Dining Out
Sale,9/10/2017,STARBUCKS STORE 16676,-2.89,Dining Out
Sale,9/12/2017,STARBUCKS STORE 16676,-2.89,Dining Out
Sale,9/12/2017,RABARCLAYS130111165156,-8.27,Dining Out
Sale,9/15/2017,STARBUCKS STORE 16676,-2.89,Dining Out
Sale,9/4/2017,COMMISSARY AT THE FRAN,-29.12,Dining Out
Sale,9/8/2017,STARBUCKS STORE 16676,-2.89,Dining Out
Sale,1/1/2017,HUNTERDON COUNTY YMCA,-107,Donation
Sale,1/31/2017,HUNTERDON COUNTY YMCA,-107,Donation
Sale,10/2/2017,YMCA HUNTERDON COUNTY,-107,Donation
Sale,10/20/2017,WIKIMEDIA8776009454,-30,Donation
Sale,10/31/2017,YMCA HUNTERDON COUNTY,-107,Donation
Sale,11/22/2017,WIKIMEDIA8776009454,-30,Donation
Sale,2/27/2017,YMCA HUNTERDON COUNTY,-169,Donation
Sale,5/1/2017,YMCA HUNTERDON COUNTY,-107,Donation
Sale,6/1/2017,YMCA HUNTERDON COUNTY,-107,Donation
Sale,7/2/2017,YMCA HUNTERDON COUNTY,-107,Donation
Sale,8/1/2017,YMCA HUNTERDON COUNTY,-107,Donation
Sale,9/1/2017,YMCA HUNTERDON COUNTY,-107,Donation
Sale,10/16/2017,BRANCHBURG SPORTS COMP,-20,Recreation
Sale,4/14/2017,TM *SHEN YUN,-492.6,Recreation
Sale,1/10/2017,CIGNA PHARM OF PA,-18.7,Health Care
Sale,1/11/2017,HUNTERDON PEDIATRIC AS CLINTON       NJ,-25,Health Care
Sale,1/13/2017,DUANE READE #14223,-14.07,Health Care
Sale,1/17/2017,HUNTERDON FAMILY MEDIC,-25,Health Care
Sale,10/11/2017,HUNTERDON PEDIATRIC AS,-25,Health Care
Sale,10/25/2017,CIGNA PHARM OF PA,-17.88,Health Care
Sale,12/3/2017,HUNTERDON PEDIATRIC AS,-25,Health Care
Sale,2/14/2017,DUANE READE #14223,-9.24,Health Care
Sale,2/15/2017,HUNTERDON FAMILY MEDIC CLINTON       NJ,-25,Health Care
Sale,2/23/2017,DIABETES & ENDOCRINE A FLEMINGTON    NJ,-35,Health Care
Sale,2/26/2017,MARKET FRESH A-2       NEWARK,-6.15,Health Care
Sale,2/5/2017,CVS/PHARMACY #02985,-13.99,Health Care
Sale,2/6/2017,HUNTERDON PEDIATRIC AS,-25,Health Care
Sale,3/23/2017,DUANE READE #14223,-7.98,Health Care
Sale,3/24/2017,ZUFALL HEALTH CENTER I DOVER         NJ,-40,Health Care
Sale,3/8/2017,HUNTERDON PEDIATRIC AS CLINTON       NJ,-25,Health Care
Sale,4/5/2017,CIGNA PHARM OF PA,-18.7,Health Care
Sale,6/1/2017,RUTGERS RWJMG,-35,Health Care
Sale,6/28/2017,CIGNA PHARM OF PA,-19.61,Health Care
Sale,7/17/2017,HOWARD J TZORFAS DPM   LEBANON       NJ,-35,Health Care
Sale,7/24/2017,HOWARD J TZORFAS DPM   LEBANON       NJ,-35,Health Care
Sale,7/25/2017,HUNTERDON PEDIATRIC AS CLINTON       NJ,-25,Health Care
Sale,7/27/2017,RUTGERS RWJMG,-35,Health Care
Sale,7/31/2017,HUNTERDON FAMILY DENTA,-290,Health Care
Sale,9/21/2017,HUNTERDON FAMILY MEDIC,-25,Health Care
Sale,9/28/2017,HUNTERDON CENTER FOR D,-35,Health Care
Sale,9/3/2017,ACADEMY OF NATURAL SCI,-30,Health Care
Sale,9/30/2017,HUNTERDON PEDIATRIC AS CLINTON       NJ,-25,Health Care
Sale,5/9/2017,BED BATH &amp; BEYOND #252,-12.8,Household
Sale,1/4/2017,HIS*HISCOX INC,-28.83,Insurance
Sale,1/5/2017,NJM INSURANCE COMPANY,-144,Insurance
Sale,10/4/2017,HIS*HISCOX INC,-28.87,Insurance
Sale,10/5/2017,NJM INSURANCE COMPANY,-149,Insurance
Sale,11/5/2017,HIS*HISCOX INC,-28.83,Insurance
Sale,11/6/2017,NJM INSURANCE COMPANY,-149,Insurance
Sale,2/5/2017,HIS*HISCOX INC,-28.83,Insurance
Sale,2/6/2017,NJM INSURANCE COMPANY,-144,Insurance
Sale,3/5/2017,HIS*HISCOX INC,-28.83,Insurance
Sale,3/6/2017,NJM INSURANCE COMPANY,-144,Insurance
Sale,4/4/2017,HIS*HISCOX INC,-28.83,Insurance
Sale,4/5/2017,NJM INSURANCE COMPANY,-118,Insurance
Sale,5/4/2017,HIS*HISCOX INC,-28.83,Insurance
Sale,6/5/2017,HIS*HISCOX INC,-28.83,Insurance
Sale,7/4/2017,HIS*HISCOX INC,-28.83,Insurance
Sale,7/5/2017,NJM INSURANCE COMPANY,-83.45,Insurance
Sale,8/4/2017,HIS*HISCOX INC,-28.83,Insurance
Sale,8/6/2017,NJM INSURANCE COMPANY,-149,Insurance
Sale,9/5/2017,NJM INSURANCE COMPANY,-149,Insurance
Sale,9/6/2017,HIS*HISCOX INC,-28.83,Insurance
Sale,11/20/2017,UDEMY ONLINE COURSES,-40,Legal & Professional
Sale,11/21/2017,UDEMY ONLINE COURSES,-10,Legal & Professional
Sale,11/21/2017,UDEMY ONLINE COURSES,-10,Legal & Professional
Sale,11/29/2017,UDEMY ONLINE COURSES,-10,Legal & Professional
Sale,11/29/2017,UDEMY ONLINE COURSES,-10,Legal & Professional
Sale,1/16/2017,THE UPS STORE #4525,-8,Postal
Sale,1/25/2017,USPS PO 3596560056,-23.75,Postal
Sale,11/16/2017,USPS PO 3316950438,-7.75,Postal
Sale,11/8/2017,AMAZON MKTPLACE PMTS,-6.99,Recreation
Sale,3/2/2017,KIDS LOVE SAN DIEGO    SAN DIEGO     CA,-5.39,Recreation
Sale,3/2/2017,BOOKSELLERS ST1144     SAN DIEGO     CA,-7,Recreation
Sale,6/8/2017,BB *GROUNDS FOR SCULPT,-72,Recreation
Sale,8/28/2017,NORTHLANDZ,-29,Recreation
Sale,9/1/2017,THE CHILDRENS PLACE 41 PHILADELPHIA  PA,-11.86,Recreation
Sale,9/2/2017,PLEASE TASTE CAFE      PHILADELPHIA  PA,-21.71,Recreation
Sale,9/2/2017,BB *PLEASETOUCHMUSEUM  PHILADELPHI   PA,-69,Recreation
Sale,1/2/2017,DIGITALOCEAN.COM,-5,Service
Sale,1/23/2017,LNR*LUNARPAGES WEBHOST,-27.9,Service
Sale,1/3/2017,GOOGLE *SVCSAPPS_entre,-5,Service
Sale,10/2/2017,DIGITALOCEAN.COM,-5,Service
Sale,2/2/2017,GOOGLE *SVCSAPPS_entre,-5,Service
Sale,2/2/2017,DIGITALOCEAN.COM,-5,Service
Sale,3/2/2017,GOOGLE *SVCSAPPS_entre,-5,Service
Sale,3/2/2017,DIGITALOCEAN.COM,-5,Service
Sale,4/3/2017,DIGITALOCEAN.COM,-5,Service
Sale,5/2/2017,DIGITALOCEAN.COM,-5,Service
Sale,6/2/2017,DIGITALOCEAN.COM,-5,Service
Sale,7/3/2017,DIGITALOCEAN.COM,-7.29,Service
Sale,8/2/2017,DIGITALOCEAN.COM,-9.04,Service
Sale,9/3/2017,DIGITALOCEAN.COM,-5,Service
Sale,1/1/2017,WAL-MART #2582,-2.11,Supplies
Sale,1/10/2017,BLOOMINGDALES.COM,-198,Supplies
Sale,1/10/2017,MACY*S .COM #0129,-143.98,Supplies
Sale,1/11/2017,BLOOMINGDALES.COM,-194.04,Supplies
Sale,1/13/2017,WAL-MART #2582         CLINTON       NJ,-1.6,Supplies
Sale,1/13/2017,WAL-MART #2582         CLINTON       NJ,-16.27,Supplies
Sale,1/16/2017,Amazon.com,-19.23,Supplies
Sale,1/16/2017,AFM OF PISCATAWAY,-163.91,Supplies
Sale,1/17/2017,WAL-MART #2582,-46.42,Supplies
Sale,1/17/2017,TEAVANA STORE 28246    BRIDGEWATER   NJ,-19.96,Supplies
Return,1/18/2017,BLOOMINGDALES #24,1095,Supplies
Return,1/18/2017,BLOOMINGDALES #24,198,Supplies
Return,1/18/2017,MACY*S EAST #0081,63.99,Supplies
Sale,1/19/2017,GYMBOREE.COM 500,-36.96,Supplies
Sale,1/2/2017,SHOPRITE CLINTON S1    CLINTON       NJ,-65.08,Supplies
Sale,1/2/2017,WAL-MART #2582,-214.58,Supplies
Sale,1/22/2017,TJ MAXX #405           CLINTON       NJ,-50.47,Supplies
Sale,1/22/2017,SHOPRITE CLINTON S1    CLINTON,-85.66,Supplies
Sale,1/22/2017,SHOPRITE CLINTON S1,-6.99,Supplies
Sale,1/23/2017,AMAZON MKTPLACE PMTS,-15.99,Supplies
Sale,1/23/2017,Amazon.com,-10.69,Supplies
Return,1/25/2017,WAL-MART #2582,12.33,Supplies
Sale,1/26/2017,BLOOMINGDALES.COM,-95.63,Supplies
Sale,1/27/2017,BLOOMINGDALES  .COM,-95.63,Supplies
Return,1/27/2017,BLOOMINGDALES  .COM,24.19,Supplies
Sale,1/29/2017,NYCFINANCECONVENIENCEF,-1.49,Supplies
Sale,1/29/2017,DOF PARKINGANDCAMERA T,-60,Supplies
Sale,1/3/2017,AMAZON MKTPLACE PMTS,-5.99,Supplies
Return,1/3/2017,WAL-MART #2582,18.83,Supplies
Sale,1/30/2017,AMAZON MKTPLACE PMTS,-18.69,Supplies
Sale,1/30/2017,AFM OF PISCATAWAY,-218.97,Supplies
Return,1/30/2017,AFM OF PISCATAWAY,14.99,Supplies
Sale,1/31/2017,CRAYOLAEXPERIENCE COM,-62.98,Supplies
Sale,1/4/2017,Amazon.com,-39.7,Supplies
Sale,1/8/2017,EVGA CORPORATION,-287.06,Supplies
Sale,1/8/2017,WWW.ALIBABA.COM,-106.91,Supplies
Sale,1/9/2017,BLOOMINGDALES.COM,-63.2,Supplies
Sale,1/9/2017,AFM OF PISCATAWAY,-122.15,Supplies
Sale,10/1/2017,LIFETOUCH PRESCHOOL PO,-53.39,Supplies
Sale,10/1/2017,NAME BUBBLES LLC,-21.08,Supplies
Sale,10/1/2017,Amazon Services-Kindle,-12.81,Supplies
Sale,10/10/2017,AMAZON MKTPLACE PMTS,-5.26,Supplies
Sale,10/12/2017,UNIQLO ECOMMERCE,-124.3,Supplies
Sale,10/13/2017,WAL-MART #2582         CLINTON       NJ,-10.47,Supplies
Sale,10/13/2017,AMAZON MKTPLACE PMTS,-37.35,Supplies
Sale,10/14/2017,GYMBOREE 17            BRIDGEWATER   NJ,-26.38,Supplies
Sale,10/15/2017,H MART EDISON          EDISON        NJ,-61.36,Supplies
Sale,10/15/2017,WAL-MART #2582,-74.96,Supplies
Sale,10/16/2017,AMAZON MKTPLACE PMTS,-7.98,Supplies
Sale,10/16/2017,TARGET        00012245,-20.72,Supplies
Sale,10/16/2017,AFM OF PISCATAWAY,-116.53,Supplies
Sale,10/17/2017,LA MER ONLINE,-336.66,Supplies
Sale,10/17/2017,MACYS   .COM,-80.16,Supplies
Sale,10/19/2017,AMAZON MKTPLACE PMTS,-31.98,Supplies
Sale,10/2/2017,Amazon.com,-11.75,Supplies
Sale,10/2/2017,AliExpress,-3.22,Supplies
Sale,10/2/2017,99 RANCH #1601,-160.97,Supplies
Sale,10/21/2017,UNIQLO BRIDGEWATER #39 BRIDGEWATER   NJ,-19.8,Supplies
Sale,10/21/2017,GYMBOREE 17            BRIDGEWATER   NJ,-25.45,Supplies
Sale,10/21/2017,HANNA ANDERSSON BRIDGE BRIDGEWATER   NJ,-30.4,Supplies
Sale,10/23/2017,SHOPRITE CLINTON S1    CLINTON       NJ,-74.3,Supplies
Sale,10/23/2017,AFM OF PISCATAWAY,-138.68,Supplies
Sale,10/23/2017,UNIQLO ECOMMERCE,-39.8,Supplies
Sale,10/23/2017,NEXTDIRECTORY.COM,-91,Supplies
Sale,10/26/2017,NEXTDIRECTORY.COM,-46,Supplies
Sale,10/28/2017,GYMBOREE 17            BRIDGEWATER   NJ,-6,Supplies
Sale,10/28/2017,UNIQLO BRIDGEWATER #39 BRIDGEWATER   NJ,-19.9,Supplies
Sale,10/28/2017,DSW BEST BUY SHOPPING  BRIDGEWATER   NJ,-119.98,Supplies
Sale,10/29/2017,99 RANCH #1601         EDISON        NJ,-16.45,Supplies
Sale,10/3/2017,SHOPRITE CLINTON S1,-44.22,Supplies
Sale,10/30/2017,99 RANCH #1601,-135.99,Supplies
Sale,10/30/2017,TARGET        00012245,-37.64,Supplies
Sale,10/30/2017,WWW COSTCO COM,-22.99,Supplies
Sale,10/31/2017,AliExpress,-19.91,Supplies
Sale,10/4/2017,AMAZON MKTPLACE PMTS,-21.92,Supplies
Sale,10/5/2017,THE PORTASOFT CO INC,-28.86,Supplies
Sale,10/8/2017,SHOPRITE CLINTON S1    CLINTON       NJ,-12.83,Supplies
Sale,10/8/2017,WAL-MART #2582         CLINTON       NJ,-30.72,Supplies
Sale,10/8/2017,WAL-MART #2582         CLINTON       NJ,-34.22,Supplies
Sale,10/8/2017,UNIQLO BRIDGEWATER #39 BRIDGEWATER   NJ,-59.8,Supplies
Sale,10/8/2017,WAL-MART #2582,-39.23,Supplies
Sale,10/9/2017,AMAZON MKTPLACE PMTS,-12.88,Supplies
Sale,10/9/2017,AMAZON MKTPLACE PMTS,-14.44,Supplies
Sale,10/9/2017,ONCE UPON A CHLD#20849,-26.27,Supplies
Sale,10/9/2017,ONCE UPON A CHLD#20849,-6.39,Supplies
Sale,10/9/2017,TARGET        00012245,-37.71,Supplies
Sale,10/9/2017,99 RANCH #1601,-121.82,Supplies
Sale,11/1/2017,AliExpress,-50.87,Supplies
Sale,11/1/2017,WAYFAIR*,-142.13,Supplies
Sale,11/12/2017,SHOPRITE CLINTON S1,-25.52,Supplies
Sale,11/13/2017,SCHUMACHER GINSENG,-135.22,Supplies
Sale,11/13/2017,TARGET        00012245,-34.51,Supplies
Sale,11/13/2017,AFM OF PISCATAWAY,-88.37,Supplies
Sale,11/13/2017,Amazon.com,-42.42,Supplies
Sale,11/14/2017,AMAZON MKTPLACE PMTS,-6.94,Supplies
Sale,11/2/2017,AMAZON MKTPLACE PMTS,-59.29,Supplies
Sale,11/2/2017,J CREW,-126.23,Supplies
Sale,11/2/2017,J CREW,-198,Supplies
Sale,11/2/2017,J CREW,-47.3,Supplies
Return,11/20/2017,UNIQLO BRIDGEWATER #39,9.9,Supplies
Return,11/20/2017,TALBOTS #0139,209.3,Supplies
Sale,11/20/2017,TARGET        00012245,-2.08,Supplies
Sale,11/20/2017,99 RANCH #1601,-122.96,Supplies
Sale,11/21/2017,AMAZON MKTPLACE PMTS,-32.86,Supplies
Sale,11/22/2017,AMAZON MKTPLACE PMTS,-16.99,Supplies
Sale,11/22/2017,MADEWELL.COM,-98,Supplies
Sale,11/22/2017,AMAZON MKTPLACE PMTS,-90.8,Supplies
Return,11/23/2017,MADEWELL #292,98,Supplies
Sale,11/24/2017,LOREAL *LANCOME ECOMM,-63.27,Supplies
Sale,11/26/2017,J CREW,-217.8,Supplies
Sale,11/26/2017,WAL-MART #2582,-58.07,Supplies
Sale,11/26/2017,TARGET        00012245,-91.27,Supplies
Sale,11/26/2017,WALMART.COM,-51.3,Supplies
Sale,11/26/2017,UNIQLO ECOMMERCE,-19.9,Supplies
Sale,11/26/2017,99 RANCH #1601,-126.74,Supplies
Sale,11/28/2017,LA MER ONLINE,-336.66,Supplies
Sale,11/28/2017,GUCCI STORE 45,-1335.94,Supplies
Sale,11/28/2017,NORDSTROM #0527,-71.92,Supplies
Sale,11/28/2017,MADEWELL.COM,-238,Supplies
Sale,11/29/2017,MADEWELL.COM,-39.99,Supplies
Sale,11/29/2017,BANANA REPUBLIC ON-LIN,-106.69,Supplies
Sale,11/3/2017,WWW COSTCO COM,-45.97,Supplies
Sale,11/30/2017,BANANA REPUBLIC ON-LIN,-6.5,Supplies
Sale,11/4/2017,99 RANCH #1601         EDISON        NJ,-123.37,Supplies
